"long","lat","country"
-53.7802,-3.6321,BR
-46.5638,-23.6266,BR
-43.1025,-22.922,BR
-43.2192,-22.8305,BR
-48.5019,-27.1788,BR
-43.4382,-21.749,BR
-42.0354,-12.1609,BR
-51.8388,-27.7968,BR
-46.6322,-23.63,BR
-43.6506,-19.8702,BR
-51.4585,-16.7285,BR
-40.4692,-20.3005,BR
-43.2192,-22.8305,BR
-37.2785,-5.1381,BR
-43.1025,-22.922,BR
-50.0127,-20.4801,BR
-46.6322,-23.63,BR
-46.4906,-24.0014,BR
-43.2192,-22.8305,BR
-37.6799,-10.8984,BR
-50.5415,-24.2244,BR
-46.6322,-23.63,BR
-48.8122,-25.1531,BR
-40.0837,-13.923,BR
-44.2963,-2.5325,BR
-48.8383,-23.947,BR
-49.107,-23.03,BR
-46.3999,-23.7041,BR
-46.35,-23.4833,BR
-45.0256,-18.2889,BR
-54.8047,-22.1437,BR
-46.6322,-23.63,BR
-34.866,-7.1703,BR
-46.6322,-23.63,BR
-55.9836,-4.2761,BR
-50.297,-17.7959,BR
-49.3538,-20.7748,BR
-45.9267,-23.0954,BR
-51.4595,-23.4473,BR
-53.0913,-25.7458,BR
-43.8909,-20.0696,BR
-43.2192,-22.8305,BR
-43.4318,-22.7568,BR
-49.2591,-16.6397,BR
-39.5651,-3.7334,BR
-38.0518,-7.8477,BR
-40.5276,-17.7836,BR
-52.2124,-3.2047,BR
-51.1744,-29.9228,BR
-43.3307,-22.9201,BR
-47.9341,-15.7792,BR
-51.0333,-30.0833,BR
-46.5032,-18.6105,BR
-42.8953,-20.7353,BR
-34.9306,-7.6017,BR
-51.1653,-30.1156,BR
-46.9774,-23.5582,BR
-47.7734,-22.7159,BR
-44.8597,-17.4196,BR
-43.2192,-22.8305,BR
-50.9084,-29.5964,BR
-40.1641,-13.5209,BR
-41.9656,-20.0023,BR
-44.3164,-20.0542,BR
-43.2192,-22.8305,BR
-47.0439,-22.8951,BR
-45.2356,-22.9043,BR
-42.3326,-22.8673,BR
