sourceaddress,destinationaddress,destinationport,geocity,countrycode
"118.186.201.132","162.92.181.6","22","UNKNOWN","CN"
"172.19.4.129","142.250.72.227","443","unknown","unknown"
"139.162.8.54","162.92.128.194","138","Singapore","SG"
"104.138.205.15","162.92.181.11","443","Winston-Salem","US"
"89.163.206.230","10.244.9.59","80","UNKNOWN","DE"
"172.19.4.62","17.248.188.109","443","unknown","unknown"
"68.185.103.26","162.92.181.77","80","Lodi","US"
"216.30.25.85","162.92.181.77","443","Memphis","US"
"172.20.8.150","17.253.14.125","123","unknown","unknown"
"162.92.191.82","20.42.65.88","443","UNKNOWN","US"
"92.118.161.21","162.92.128.246","8000","UNKNOWN","LT"
"92.63.197.83","162.92.128.251","3398","UNKNOWN","RU"
"73.173.66.54","162.92.181.1","443","Greenbelt","US"
"68.80.52.46","10.245.8.104","80","King of Prussia","US"
"162.92.191.88","104.77.193.173","443","UNKNOWN","US"
"98.53.11.222","162.92.181.77","443","UNKNOWN","US"
"172.19.4.108","17.248.188.69","443","unknown","unknown"
"70.180.235.126","162.92.181.77","443","Henderson","US"
"208.127.184.204","162.92.181.77","137","UNKNOWN","US"
"162.92.191.80","51.105.71.137","443","UNKNOWN","US"
"99.73.216.149","162.92.181.77","443","Fort Worth","US"
"92.63.197.83","162.92.128.73","3390","UNKNOWN","RU"
"92.118.161.25","162.92.181.7","2082","UNKNOWN","LT"
"92.63.197.83","162.92.128.19","3403","UNKNOWN","RU"
"172.19.5.119","52.216.20.253","443","unknown","unknown"
"107.77.235.228","162.92.181.77","443","UNKNOWN","US"
"172.20.9.242","17.253.4.125","123","unknown","unknown"
"162.92.191.86","104.46.162.224","443","UNKNOWN","US"
"172.223.109.108","162.92.181.77","443","Ennis","US"
"107.77.219.129","162.92.181.77","443","Houston","US"
"185.173.35.61","162.92.181.71","16010","UNKNOWN","DE"
"67.186.163.176","162.92.181.11","443","Bristol","US"
"162.92.191.82","44.239.62.193","443","UNKNOWN","US"
"162.92.191.85","146.112.55.6","443","UNKNOWN","US"
"104.140.188.2","162.92.128.107","5001","Las Vegas","US"
"172.19.4.18","52.89.32.240","443","unknown","unknown"
"71.191.178.154","162.92.181.77","443","Clarksburg","US"
"172.20.16.112","13.89.178.26","443","unknown","unknown"
"70.92.229.122","10.97.125.77","80","UNKNOWN","US"
"147.182.187.200","162.92.128.78","138","UNKNOWN","US"
"67.248.166.205","162.92.181.77","443","Clifton Park","US"
"92.63.197.83","162.92.181.36","3401","UNKNOWN","RU"
"185.173.35.21","162.92.128.148","40000","UNKNOWN","DE"
"172.19.4.205","54.148.74.106","443","unknown","unknown"
"162.92.191.71","107.155.79.3","123","UNKNOWN","US"
"151.238.159.18","10.242.76.167","80","UNKNOWN","IR"
"172.19.4.197","52.96.64.194","443","unknown","unknown"
"187.245.138.182","162.92.181.77","443","Tlajomulco de Zuniga","MX"
"162.92.191.83","20.50.201.195","443","UNKNOWN","US"
"143.255.34.176","10.244.9.77","80","UNKNOWN","HN"
"89.248.169.12","162.92.128.19","5900","UNKNOWN","NL"
"72.218.18.118","162.92.181.77","443","Chesapeake","US"
"172.19.4.239","52.114.133.68","443","unknown","unknown"
"172.20.17.68","157.240.11.35","443","unknown","unknown"
"162.92.191.87","104.208.16.88","443","UNKNOWN","US"
"143.198.136.88","10.244.8.102","443","UNKNOWN","US"
"108.201.26.84","162.92.181.77","443","Catoosa","US"
"157.245.136.159","162.92.181.56","138","North Bergen","US"
"169.60.82.152","162.92.181.3","8772","UNKNOWN","US"
"89.248.165.52","162.92.128.90","8086","UNKNOWN","NL"
"104.206.128.22","162.92.128.2","5443","Las Vegas","US"
"162.92.191.83","23.222.5.12","80","UNKNOWN","US"
"165.227.2.127","162.92.176.17","138","Santa Clara","US"
"172.19.5.151","96.16.55.95","443","unknown","unknown"
"172.20.14.219","17.253.16.253","123","unknown","unknown"
"68.80.52.46","10.244.9.4","80","King of Prussia","US"
"174.254.49.3","162.92.181.77","443","UNKNOWN","US"
"69.31.121.21","10.245.9.118","443","UNKNOWN","US"
"162.92.191.84","52.217.164.181","80","UNKNOWN","US"
"172.58.196.247","162.92.181.77","443","UNKNOWN","US"
"104.140.188.42","162.92.128.109","52200","Las Vegas","US"
"222.186.19.235","162.92.128.249","81","UNKNOWN","CN"
"45.232.155.72","10.245.8.189","80","Pampa del Infierno","AR"
"94.102.49.190","162.92.128.168","3790","UNKNOWN","NL"
"185.94.111.1","162.92.128.139","179","UNKNOWN","RU"
"204.48.13.243","162.92.181.77","80","UNKNOWN","US"
"45.36.140.58","162.92.181.11","443","Winston-Salem","US"
"50.37.233.163","162.92.181.77","443","Donnelly","US"
"98.111.120.10","162.92.181.77","443","Middletown","US"
"104.114.79.84","162.92.180.71","443","UNKNOWN","US"
"139.177.198.66","162.92.128.205","138","UNKNOWN","US"
"23.213.54.127","10.194.8.128","443","Dallas","US"
"172.19.5.39","52.168.117.169","443","unknown","unknown"
"172.19.4.32","142.250.189.194","443","unknown","unknown"
